🧮  abacus
➯  notched-lower-right-shadowed-white-rightwards-arrow
🕄  notched-right-semicircle-with-three-dots
➱  notched-upper-right-shadowed-white-rightwards-arrow
🗈  note
🗊  note-pad
🗉  note-page
📓  notebook
📔  notebook-with-decorative-cover
🔩  nut-and-bolt
🛑  octagonal-sign
🐙  octopus
🍢  oden
🏢  office-building
🛢  oil-drum
👌  ok-hand-sign
🗝  old-key
🖳  old-personal-computer
🫒  olive
🕉  om-symbol
🔛  on-with-exclamation-mark-with-left-right-arrow-above
🚘  oncoming-automobile
🚍  oncoming-bus
🛱  oncoming-fire-engine
🚔  oncoming-police-car
🚖  oncoming-taxi
🖯  one-button-mouse
🩱  one-piece-swimsuit
🧅  onion
📖  open-book
✲  open-centre-asterisk
✫  open-centre-black-star
✛  open-centre-cross
✼  open-centre-teardrop-spoked-asterisk
📂  open-file-folder
🗁  open-folder
👐  open-hands-sign
🔓  open-lock
📭  open-mailbox-with-lowered-flag
📬  open-mailbox-with-raised-flag
➾  open-outlined-rightwards-arrow
⛎  ophiuchus
☍  opposition
💿  optical-disc
🖸  optical-disc-icon
📙  orange-book
🧡  orange-heart
🦧  orangutan
☦  orthodox-cross
🦦  otter
📤  outbox-tray
✭  outlined-black-star
✙  outlined-greek-cross
✟  outlined-latin-cross
⚝  outlined-white-star
🥵  overheated-face
🗗  overlap
🦉  owl
🐂  ox
🦪  oyster
📦  package
🗏  page
📄  page-facing-up
🗟  page-with-circled-text
📃  page-with-curl
📟  pager
🗐  pages
🛔  pagoda
⚴  pallas
🫳  palm-down-hand
🌴  palm-tree
🫴  palm-up-hand
🥞  pancakes
🐼  panda-face
📎  paperclip
🪂  parachute
🦜  parrot
♽  partially-recycled-paper-symbol
🎉  party-popper
🛳  passenger-ship
🛂  passport-control
🐾  paw-prints
🫛  pea-pod
☮  peace-symbol
🍑  peach
🦚  peacock
🍐  pear
🖆  pen-over-stamped-envelope
✏  pencil
🐧  penguin
⛤  pentagram
🫂  people-hugging
🎭  performing-arts
♾  permanent-paper-sign
😣  persevering-face
⛹  person-with-ball
🫅  person-with-crown
💻  personal-computer
🧫  petri-dish
⛏  pick
🛻  pickup-truck
🥧  pie
🐖  pig
🐷  pig-face
🐽  pig-nose
💩  pile-of-poo
💊  pill
🪅  pinata
🤌  pinched-fingers
🤏  pinching-hand
🎍  pine-decoration
🍍  pineapple
🩷  pink-heart
✯  pinwheel-star
♓  pisces
🔫  pistol
🪧  placard
🛐  place-of-worship
🛝  playground-slide
♇  pluto
🖩  pocket-calculator
🚓  police-car
🚨  police-cars-revolving-light
🐩  poodle
🍿  popcorn
📾  portable-stereo
📯  postal-horn
📮  postbox
🍲  pot-of-food
🚰  potable-water-symbol
🥔  potato
🪴  potted-plant
👝  pouch
🍗  poultry-leg
🫗  pouring-liquid
😾  pouting-cat-face
😡  pouting-face
📿  prayer-beads
🫃  pregnant-man
🫄  pregnant-person
🥨  pretzel
🖨  printer
🖶  printer-icon
🛇  prohibited-sign
📢  public-address-loudspeaker
💜  purple-heart
👛  purse
📌  pushpin
🚮  put-litter-in-its-place-symbol
♩  quarter-note
⚻  quincunx
🐇  rabbit
🐰  rabbit-face
🦝  raccoon
🏎  racing-car
🏍  racing-motorcycle
📻  radio
🔘  radio-button
☢  radioactive-sign
🚃  railway-car
🛤  railway-track
⛆  rain
🌈  rainbow
🤚  raised-back-of-hand
✊  raised-fist
✋  raised-hand
🖐  raised-hand-with-fingers-splayed
🖖  raised-hand-with-part-between-middle-and-ring-fingers
🐏  ram
🐀  rat
🪒  razor
🧾  receipt
🚙  recreational-vehicle
♼  recycled-paper-symbol
♺  recycling-symbol-for-generic-materials
♳  recycling-symbol-for-type-1-plastics
♴  recycling-symbol-for-type-2-plastics
♵  recycling-symbol-for-type-3-plastics
♶  recycling-symbol-for-type-4-plastics
♷  recycling-symbol-for-type-5-plastics
♸  recycling-symbol-for-type-6-plastics
♹  recycling-symbol-for-type-7-plastics
🍎  red-apple
🧧  red-gift-envelope
😌  relieved-face
🎗  reminder-ribbon
⛠  restricted-left-entry-1
⛡  restricted-left-entry-2
🚻  restroom
🖕  reversed-hand-with-middle-finger-extended
🖑  reversed-raised-hand-with-fingers-splayed
☙  reversed-rotated-floral-heart-bullet
🖓  reversed-thumbs-down-sign
🖒  reversed-thumbs-up-sign
🖔  reversed-victory-hand
💞  revolving-hearts
🦏  rhinoceros
🎀  ribbon
🍙  rice-ball
🍘  rice-cracker
🥆  rifle
🤜  right-facing-fist
🕽  right-hand-telephone-receiver
⛥  right-handed-interlaced-pentagram
➩  right-shaded-white-rightwards-arrow
🕨  right-speaker
🕩  right-speaker-with-one-sound-wave
🕪  right-speaker-with-three-sound-waves
🗩  right-speech-bubble
🗭  right-thought-bubble
🫱  rightwards-hand
🫸  rightwards-pushing-hand
💍  ring
🛟  ring-buoy
🪐  ringed-planet
🕭  ringing-bell
🍠  roasted-sweet-potato
🤖  robot-face
🪨  rock
🚀  rocket
🧻  roll-of-paper
🗞  rolled-up-newspaper
🎢  roller-coaster
🛼  roller-skate
🤣  rolling-on-the-floor-laughing
🐓  rooster
🌹  rose
🏵  rosette
❧  rotated-floral-heart-bullet
❥  rotated-heavy-black-heart-bullet
📍  round-pushpin
🚣  rowboat
🏉  rugby-football
🏃  runner
🎽  running-shirt-with-sash
🧷  safety-pin
🦺  safety-vest
♐  sagittarius
⛵  sailboat
🍶  sake-bottle-and-cup
🧂  salt-shaker
☓  saltire
🫡  saluting-face
🥪  sandwich
🥻  sari
🛰  satellite
📡  satellite-antenna
♄  saturn
🦕  sauropod
🎷  saxophone
⚖  scales
🧣  scarf
🏫  school
🎒  school-satchel
🛴  scooter
🦂  scorpion
♏  scorpius
🖵  screen
📜  scroll
🦭  seal
💺  seat
🥈  second-place-medal
⚺  semisextile
🤬  serious-face-with-symbols-covering-mouth
⚼  sesquiquadrate
🪡  sewing-needle
⚹  sextile
❍  shadowed-white-circle
✞  shadowed-white-latin-cross
✰  shadowed-white-star
🫨  shaking-face
🥘  shallow-pan-of-food
☘  shamrock
🦈  shark
🍧  shaved-ice
🐑  sheep
🛡  shield
⛩  shinto-shrine
🚢  ship
🤯  shocked-face-with-exploding-head
🌠  shooting-star
🛍  shopping-bags
🛒  shopping-trolley
🍰  shortcake
🩳  shorts
🚿  shower
🦐  shrimp
🖡  sideways-black-down-pointing-index
🖚  sideways-black-left-pointing-index
🖛  sideways-black-right-pointing-index
🖠  sideways-black-up-pointing-index
🖟  sideways-white-down-pointing-index
🖘  sideways-white-left-pointing-index
🖙  sideways-white-right-pointing-index
🖞  sideways-white-up-pointing-index
🤘  sign-of-the-horns
🗾  silhouette-of-japan
✾  six-petalled-black-and-white-florette
✶  six-pointed-black-star
🔯  six-pointed-star-with-middle-dot
✺  sixteen-pointed-asterisk
🛹  skateboard
🎿  ski-and-ski-boot
⛷  skier
☠  skull-and-crossbones
🦨  skunk
🛷  sled
🛌  sleeping-accommodation
😴  sleeping-face
😪  sleepy-face
🍕  slice-of-pizza
🙁  slightly-frowning-face
🙂  slightly-smiling-face
🎰  slot-machine
🦥  sloth
🛩  small-airplane
🔹  small-blue-diamond
🔸  small-orange-diamond
😻  smiling-cat-face-with-heart-shaped-eyes
😺  smiling-cat-face-with-open-mouth
😇  smiling-face-with-halo
😍  smiling-face-with-heart-shaped-eyes
😈  smiling-face-with-horns
😃  smiling-face-with-open-mouth
😅  smiling-face-with-open-mouth-and-cold-sweat
😄  smiling-face-with-open-mouth-and-smiling-eyes
😆  smiling-face-with-open-mouth-and-tightly-closed-eyes
😊  smiling-face-with-smiling-eyes
🤭  smiling-face-with-smiling-eyes-and-hand-covering-mouth
🥰  smiling-face-with-smiling-eyes-and-three-hearts
😎  smiling-face-with-sunglasses
🥲  smiling-face-with-tear
😏  smirking-face
🚬  smoking-symbol
🐌  snail
🐍  snake
🤧  sneezing-face
🏔  snow-capped-mountain
🏂  snowboarder
❄  snowflake
☃  snowman
⛄  snowman-without-snow
⚽  soccer-ball
🧦  socks
🍦  soft-ice-cream
🖬  soft-shell-floppy-disk
🥎  softball
🔜  soon-with-rightwards-arrow-above
🍝  spaghetti
❇  sparkle
✨  sparkles
💖  sparkling-heart
🔈  speaker
🔇  speaker-with-cancellation-stroke
🔉  speaker-with-one-sound-wave
🔊  speaker-with-three-sound-waves
💬  speech-balloon
🚤  speedboat
🕷  spider
🕸  spider-web
🗓  spiral-calendar-pad
🗒  spiral-note-pad
🐚  spiral-shell
💦  splashing-sweat-symbol
🧽  sponge
🧵  spool-of-thread
🥄  spoon
🏅  sports-medal
🐳  spouting-whale
⛶  square-four-corners
⚿  squared-key
⛝  squared-saltire
➧  squat-black-rightwards-arrow
🦑  squid
🏟  stadium
⚕  staff-of-aesculapius
⚚  staff-of-hermes
🖃  stamped-envelope
🧍  standing-person
☪  star-and-crescent
✡  star-of-david
🚉  station
🗽  statue-of-liberty
🚂  steam-locomotive
🍜  steaming-bowl
🩺  stethoscope
🗠  stock-chart
🍓  strawberry
✩  stress-outlined-white-star
🎙  studio-microphone
🥙  stuffed-flatbread
🛓  stupa
☉  sun
⛅  sun-behind-cloud
🌞  sun-with-face
🌻  sunflower
🌅  sunrise
🌄  sunrise-over-mountains
🌇  sunset-over-buildings
🦸  superhero
🦹  supervillain
🏄  surfer
🍣  sushi
🚟  suspension-railway
🦢  swan
🏊  swimmer
🕅  symbol-for-marks-chapter
🕍  synagogue
💉  syringe
🦖  t-rex
👕  t-shirt
🏓  table-tennis-paddle-and-ball
🌮  taco
🥡  takeout-box
🫔  tamale
🎋  tanabata-tree
🍊  tangerine
🖭  tape-cartridge
✇  tape-drive
♉  taurus
🚕  taxi
🍵  teacup-without-handle
🫖  teapot
📆  tear-off-calendar
➺  teardrop-barbed-rightwards-arrow
✻  teardrop-spoked-asterisk
🧸  teddy-bear
✆  telephone-location-sign
🖀  telephone-on-top-of-modem
🕼  telephone-receiver-with-page
🔭  telescope
📺  television
🎾  tennis-racquet-and-ball
⛺  tent
🧪  test-tube
🌡  thermometer
🤔  thinking-face
🥉  third-place-medal
🩴  thong-sandal
🖱  three-button-mouse
➣  three-d-bottom-lighted-rightwards-arrowhead
➢  three-d-top-lighted-rightwards-arrowhead
⚟  three-lines-converging-left
⚞  three-lines-converging-right
🖧  three-networked-computers
🗤  three-rays-above
🗥  three-rays-below
🗦  three-rays-left
🗧  three-rays-right
🗫  three-speech-bubbles
👎  thumbs-down-sign
👍  thumbs-up-sign
⛈  thunder-cloud-and-rain
☈  thunderstorm
🎫  ticket
🐅  tiger
🐯  tiger-face
❅  tight-trifoliate-snowflake
😫  tired-face
🚽  toilet
🗼  tokyo-tower
🍅  tomato
👅  tongue
🧰  toolbox
🦷  tooth
🎩  top-hat
🔝  top-with-upwards-arrow-above
🖲  trackball
🚜  tractor
🚆  train
🚊  tram
🚋  tram-car
➝  triangle-headed-rightwards-arrow
🛆  triangle-with-rounded-corners
🔱  trident-emblem
☷  trigram-for-earth
☲  trigram-for-fire
☰  trigram-for-heaven
☱  trigram-for-lake
☶  trigram-for-mountain
☳  trigram-for-thunder
☵  trigram-for-water
☴  trigram-for-wind
🧌  troll
🚎  trolleybus
🏆  trophy
🍹  tropical-drink
🐠  tropical-fish
🎺  trumpet
🌷  tulip
🥃  tumbler-glass
🦃  turkey
⛊  turned-black-shogi-piece
🖏  turned-ok-hand-sign
⛉  turned-white-shogi-piece
🐢  turtle
✹  twelve-pointed-black-star
🔀  twisted-rightwards-arrows
🖰  two-button-mouse
🗪  two-speech-bubbles
🛘  u1f6d8
🛙  u1f6d9
🛚  u1f6da
🛛  u1f6db
🛭  u1f6ed
🛮  u1f6ee
🛯  u1f6ef
🛽  u1f6fd
🛾  u1f6fe
🛿  u1f6ff
🩔  u1fa54
🩕  u1fa55
🩖  u1fa56
🩗  u1fa57
🩘  u1fa58
🩙  u1fa59
🩚  u1fa5a
🩛  u1fa5b
🩜  u1fa5c
🩝  u1fa5d
🩞  u1fa5e
🩟  u1fa5f
🩮  u1fa6e
🩯  u1fa6f
🩽  u1fa7d
🩾  u1fa7e
🩿  u1fa7f
🪉  u1fa89
🪊  u1fa8a
🪋  u1fa8b
🪌  u1fa8c
🪍  u1fa8d
🪎  u1fa8e
🪏  u1fa8f
🪾  u1fabe
🫆  u1fac6
🫇  u1fac7
🫈  u1fac8
🫉  u1fac9
🫊  u1faca
🫋  u1facb
🫌  u1facc
🫍  u1facd
🫜  u1fadc
🫝  u1fadd
🫞  u1fade
🫟  u1fadf
🫩  u1fae9
🫪  u1faea
🫫  u1faeb
🫬  u1faec
🫭  u1faed
🫮  u1faee
🫯  u1faef
🫹  u1faf9
🫺  u1fafa
🫻  u1fafb
🫼  u1fafc
🫽  u1fafd
🫾  u1fafe
🫿  u1faff
☂  umbrella
⛱  umbrella-on-ground
☔  umbrella-with-rain-drops
😒  unamused-face
🦄  unicorn-face
♲  universal-recycling-symbol
⚯  unmarried-partnership-symbol
🛧  up-pointing-airplane
🛦  up-pointing-military-airplane
🔺  up-pointing-red-triangle
🛨  up-pointing-small-airplane
🔼  up-pointing-small-red-triangle
✁  upper-blade-scissors
❐  upper-right-drop-shadowed-white-square
✐  upper-right-pencil
🔿  upper-right-shadowed-white-circle
❒  upper-right-shadowed-white-square
🙃  upside-down-face
♅  uranus
⚨  vertical-male-with-stroke-sign
🚦  vertical-traffic-light
⚶  vesta
📳  vibration-mode
✌  victory-hand
📹  video-camera
🎮  video-game
📼  videocassette
🎻  violin
♍  virgo
🌋  volcano
🏐  volleyball
🧇  waffle
🌘  waning-crescent-moon-symbol
🌖  waning-gibbous-moon-symbol
⚠  warning-sign
🗑  wastebasket
🐃  water-buffalo
🚾  water-closet
🌊  water-wave
🍉  watermelon
🏴  waving-black-flag
👋  waving-hand-sign
🌒  waxing-crescent-moon-symbol
🌔  waxing-gibbous-moon-symbol
🙀  weary-cat-face
😩  weary-face
💒  wedding
➼  wedge-tailed-rightwards-arrow
🏋  weight-lifter
♰  west-syriac-cross
🐋  whale
🛞  wheel
☸  wheel-of-dharma
♿  wheelchair-symbol
♗  white-chess-bishop
🨌  white-chess-bishop-rotated-ninety-degrees
🨶  white-chess-bishop-rotated-two-hundred-seventy-degrees
🩈  white-chess-equihopper
🩋  white-chess-equihopper-rotated-ninety-degrees
♔  white-chess-king
🨉  white-chess-king-rotated-ninety-degrees
🨳  white-chess-king-rotated-two-hundred-seventy-degrees
♘  white-chess-knight
🩐  white-chess-knight-bishop
🩎  white-chess-knight-queen
🩏  white-chess-knight-rook
🨆  white-chess-knight-rotated-forty-five-degrees
🨍  white-chess-knight-rotated-ninety-degrees
🨛  white-chess-knight-rotated-one-hundred-thirty-five-degrees
🩅  white-chess-knight-rotated-three-hundred-fifteen-degrees
🨷  white-chess-knight-rotated-two-hundred-seventy-degrees
🨰  white-chess-knight-rotated-two-hundred-twenty-five-degrees
♙  white-chess-pawn
🨎  white-chess-pawn-rotated-ninety-degrees
🨸  white-chess-pawn-rotated-two-hundred-seventy-degrees
♕  white-chess-queen
🨊  white-chess-queen-rotated-ninety-degrees
🨴  white-chess-queen-rotated-two-hundred-seventy-degrees
♖  white-chess-rook
🨋  white-chess-rook-rotated-ninety-degrees
🨵  white-chess-rook-rotated-two-hundred-seventy-degrees
🨡  white-chess-turned-bishop
🨞  white-chess-turned-king
🨢  white-chess-turned-knight
🨣  white-chess-turned-pawn
🨟  white-chess-turned-queen
🨠  white-chess-turned-rook
⚆  white-circle-with-dot-right
⚇  white-circle-with-two-dots
♧  white-club-suit
⛋  white-diamond-in-square
♢  white-diamond-suit
👇  white-down-pointing-backhand-index
☟  white-down-pointing-index
🖗  white-down-pointing-left-hand-index
⛁  white-draughts-king
⛀  white-draughts-man
❕  white-exclamation-mark-ornament
➳  white-feathered-rightwards-arrow
⚐  white-flag
⛿  white-flag-with-horizontal-middle-black-stripe
❀  white-florette
💮  white-flower
✧  white-four-pointed-star
☹  white-frowning-face
🖫  white-hard-shell-floppy-disk
♡  white-heart-suit
✅  white-heavy-check-mark
🕆  white-latin-cross
⛙  white-left-lane-merge
☜  white-left-pointing-index
✑  white-nib
🏱  white-pennant
❔  white-question-mark-ornament
☞  white-right-pointing-index
✄  white-scissors
☖  white-shogi-piece
☺  white-smiling-face
♤  white-spade-suit
🔳  white-square-button
☆  white-star
🌣  white-sun
🌥  white-sun-behind-cloud
🌦  white-sun-behind-cloud-with-rain
☼  white-sun-with-rays
🌤  white-sun-with-small-cloud
☏  white-telephone
🕾  white-touchtone-telephone
⛗  white-two-way-left-way-traffic
👆  white-up-pointing-backhand-index
☝  white-up-pointing-index
🥀  wilted-flower
🌬  wind-blowing-face
🎐  wind-chime
🪟  window
🍷  wine-glass
🪽  wing
😉  winking-face
🖮  wired-keyboard
🛜  wireless
🐺  wolf-face
👢  womans-boots
👚  womans-clothes
👒  womans-hat
👡  womans-sandal
🚺  womens-symbol
🪵  wood
🗺  world-map
🪱  worm
😟  worried-face
🎁  wrapped-present
✍  writing-hand
🩻  x-ray
🩬  xiangqi-black-cannon
🩫  xiangqi-black-chariot
🩩  xiangqi-black-elephant
🩧  xiangqi-black-general
🩪  xiangqi-black-horse
🩨  xiangqi-black-mandarin
🩭  xiangqi-black-soldier
🩥  xiangqi-red-cannon
🩤  xiangqi-red-chariot
🩢  xiangqi-red-elephant
🩠  xiangqi-red-general
🩣  xiangqi-red-horse
🩡  xiangqi-red-mandarin
🩦  xiangqi-red-soldier
🥱  yawning-face
💛  yellow-heart
☯  yin-yang
🪀  yo-yo
🦓  zebra-face
🤐  zipper-mouth-face
🧟  zombie
